Student ID,module_code,EXAM %,assessment_number,score,progress_in_semester
34002125,CS161,0.0,1,100.0,0.1
59334742,CS161,0.0,1,0.0,0.1
28249094,CS161,61.0,1,100.0,0.1
80757531,CS161,70.0,1,100.0,0.1
93675090,CS161,38.0,1,100.0,0.1
76821156,CS161,0.0,1,100.0,0.1
83016591,CS161,83.0,1,100.0,0.1
89400160,CS161,0.0,1,100.0,0.1
63767996,CS161,48.0,1,100.0,0.1
32221102,CS161,28.0,1,0.0,0.1
11995577,CS161,38.0,1,50.0,0.1
17619064,CS161,15.0,1,100.0,0.1
32446864,CS161,53.0,1,100.0,0.1
82801786,CS161,0.0,1,50.0,0.1
51246713,CS161,65.0,1,100.0,0.1
69563061,CS161,27.0,1,50.0,0.1
14708099,CS161,0.0,1,80.0,0.1
42600414,CS161,11.0,1,100.0,0.1
62912601,CS161,48.0,1,100.0,0.1
29933757,CS161,35.0,1,100.0,0.1
14992696,CS161,0.0,1,0.0,0.1
57778284,CS161,11.0,1,100.0,0.1
48118722,CS161,44.0,1,0.0,0.1
82073453,CS161,0.0,1,100.0,0.1
65312480,CS161,53.0,1,100.0,0.1
43455746,CS161,13.0,1,38.0,0.1
12039636,CS161,48.0,1,100.0,0.1
85627452,CS161,5.0,1,0.0,0.1
78594106,CS161,41.0,1,100.0,0.1
59003785,CS161,10.0,1,100.0,0.1
87929681,CS161,0.0,1,0.0,0.1
72970314,CS161,0.0,1,100.0,0.1
43378720,CS161,0.0,1,0.0,0.1
34484779,CS161,28.0,1,100.0,0.1
13731882,CS161,37.0,1,100.0,0.1
36010927,CS161,0.0,1,38.0,0.1
48465241,CS161,50.0,1,100.0,0.1
16223371,CS161,50.0,1,100.0,0.1
72827820,CS161,0.0,1,0.0,0.1
46238708,CS161,10.0,1,100.0,0.1
54313853,CS161,17.0,1,100.0,0.1
77630350,CS161,69.0,1,100.0,0.1
93546547,CS161,53.0,1,100.0,0.1
81671909,CS161,78.0,1,100.0,0.1
85443891,CS161,54.0,1,100.0,0.1
35348136,CS161,62.0,1,50.0,0.1
22307456,CS161,76.0,1,90.0,0.1
82999094,CS161,49.0,1,100.0,0.1
76935586,CS161,0.0,1,100.0,0.1
41312106,CS161,18.0,1,100.0,0.1
96645647,CS161,48.0,1,23.0,0.1
72308679,CS161,9.0,1,50.0,0.1
87283794,CS161,74.0,1,100.0,0.1
84150618,CS161,77.0,1,100.0,0.1
66088281,CS161,16.0,1,100.0,0.1
13022259,CS161,78.0,1,100.0,0.1
71082361,CS161,92.0,1,100.0,0.1
81163166,CS161,69.0,1,100.0,0.1
53292236,CS161,69.0,1,100.0,0.1
99912338,CS161,29.0,1,98.0,0.1
74963938,CS161,59.0,1,100.0,0.1
66510180,CS161,25.0,1,100.0,0.1
74779884,CS161,98.0,1,100.0,0.1
88756438,CS161,65.0,1,100.0,0.1
49510500,CS161,25.0,1,100.0,0.1
93509703,CS161,40.0,1,100.0,0.1
75190992,CS161,23.0,1,0.0,0.1
78544164,CS161,83.0,1,100.0,0.1
84275168,CS161,41.0,1,100.0,0.1
81191987,CS161,20.0,1,77.0,0.1
29649479,CS161,88.0,1,100.0,0.1
46717500,CS161,39.0,1,100.0,0.1
