Student ID,TOTAL
22351033,49.25
21143498,86.98
22325963,41.85
22308181,48.27
22310001,87.46
22500609,47.72
22449804,8.12
22333313,50.45
22537173,10.95
22252327,81.79
22737145,46.13
22365403,51.5
22311213,60.53
22349186,39.01
21335131,47.56
22390881,59.21
22352376,43.57
22358531,33.11
22717061,39.54
22439742,36.64
22463824,46.01
22435852,41.61
22328853,74.21
22252366,67.36
22788429,60.5
22449856,51.4
22489864,55.37
22700112,85.79
22420432,63.45
22356006,63.63
22332531,47.33
22430176,75.75
22421812,78.93
22386591,63.15
22348696,58.55
22426492,60.78
22375143,88.93
21460904,0
21443912,26.05
22424984,27.81
22483344,45.83
22766821,13.48
22473462,66.24
22459626,42.97
22389281,43.47
22347926,29.22
22711641,70.94
22495312,64.33
21513239,5.84
22539856,7.5
22485812,8.72
22393581,75.52
22365143,36.09
22383763,0
22504436,74.57
22385593,83.26
22341593,88.04
22363283,55.06
22451054,9.76
22436252,19.92
22305336,92.12
22461884,31.51
22310443,81.35
22525036,64.96
22390291,41.76
22379313,36.61
22406366,88.14
22331931,51.91
22380676,28.47
22349606,69.17
22474074,91.26
22337611,50.19
22401246,74.77
22920306,83.24
22491444,2.04
22398866,51.85
21345311,8.44
22423016,69.23
22389023,43.2
21427212,0
22401874,39.67
22300221,75.15
22389991,38.17
22410174,46.65
22439554,18.42
21744105,0
22391613,18.65
22328631,63.29
21448102,66.59
21356451,26.33
22303311,51.87
22451126,26.26
22354371,70.17
22333783,28.11
22329363,61.26
22412736,11.6
22422704,25.32
22434454,19.87
22312091,75.42
22367856,70.72
22754589,52.08
22434156,46.02
22325131,42.23
22310211,68.94
22403706,47.47
22525099,31.67
22393183,83.5
22742971,91
22481504,0
22492032,36.59
22406456,78.67
22461996,36.89
22456024,37.48
22403612,83.16
22394753,35.7
22528886,70.02
22448616,85.89
22421646,75.19
22373386,45.53
22455216,69.89
22388381,50.61
22756169,81.16
22514179,58.96
22308776,59.61
22322306,7.1
22482826,67.19
22413752,73.5
22381563,49.69
22409302,43.36
22362121,51.11
22320476,72.05
22521299,69.086665
22506776,17.8
22384501,61.23
22463686,71.01
22465686,0
22479256,67.54
21437266,54.53
22352923,7.74
21347626,37.7
22502596,0
21309091,10.68
22303966,40.49
22482602,52.34
22366496,57.85
22354281,39.09
21444266,57.53
22761831,88.5
22449014,67.67
22355611,57.51
22407122,60.26
22381873,12.76
22760331,46.31
22412214,49.71
22445234,5.56
22411352,59.35
22330766,55.67
22380021,70.25
22423036,56.43
22353021,26.06
22312516,80.59
22405062,42.07
22448146,34.53
22397223,48.57
22359583,45.15
22343066,91.5
22488842,62.45
22499834,35.32
18454716,0
22360323,36.52
22333606,63.87
22484534,94
22495022,70.73
22425236,71.19
22399683,72.8
22335091,79.45
22475756,94.68
22414356,39.86
