Student ID,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,Average Grade,Labs Completed
20743976,0.0,100.0,100.0,64.0,96.0,49.0,75.0,88.0,80.0,0.0,65.2,8
94334509,100.0,100.0,100.0,0.0,100.0,100.0,53.0,70.0,0.0,0.0,62.3,7
36814683,15.0,85.0,57.0,63.0,69.0,90.0,50.0,62.0,22.0,100.0,61.3,10
32670174,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1
54183175,0.0,28.0,0.0,0.0,82.0,23.0,82.0,85.0,63.0,0.0,36.3,6
40300574,100.0,78.0,97.0,90.0,80.0,78.0,50.0,41.0,85.0,100.0,79.9,10
73381689,23.0,82.0,80.0,60.0,75.0,76.0,61.0,100.0,85.0,30.0,67.2,10
70246117,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
61412453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
66723966,95.0,0.0,44.0,28.0,43.0,56.0,42.0,55.0,43.0,80.0,48.6,9
98615098,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,25.0,43.0,85.8,10
12584561,100.0,86.0,100.0,79.0,59.0,77.0,20.0,54.0,50.0,86.0,71.1,10
13148647,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
52689053,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,0.0,43.0,80.3,9
73496760,100.0,97.0,56.0,80.0,63.0,77.0,79.0,95.0,100.0,67.0,81.4,10
98726176,100.0,98.0,100.0,100.0,90.0,88.0,62.0,18.0,0.0,100.0,75.6,9
41115870,100.0,70.0,89.0,67.0,18.0,94.0,32.0,20.0,0.0,0.0,49.0,8
89490222,50.0,100.0,100.0,93.0,61.0,73.0,25.0,59.0,50.0,73.0,68.4,10
35239168,100.0,99.0,100.0,35.0,78.0,67.0,60.0,100.0,50.0,100.0,78.9,10
50419199,100.0,38.0,0.0,51.0,21.0,0.0,0.0,30.0,0.0,0.0,24.0,5
60813480,0.0,48.0,0.0,8.0,12.0,0.0,0.0,0.0,48.0,0.0,11.6,4
72623279,0.0,27.0,55.0,35.0,0.0,0.0,51.0,17.0,31.0,0.0,21.6,6
46159542,100.0,87.0,100.0,76.0,71.0,97.0,20.0,20.0,0.0,0.0,57.1,8
31775286,100.0,100.0,100.0,73.0,81.0,0.0,44.0,48.0,0.0,0.0,54.6,7
75163235,48.0,6.0,56.0,6.0,13.0,33.0,10.0,45.0,0.0,0.0,21.7,8
53637669,100.0,100.0,100.0,100.0,88.0,94.0,89.0,78.0,0.0,100.0,84.9,9
59715668,63.0,40.0,100.0,69.0,18.0,0.0,0.0,0.0,0.0,0.0,29.0,5
20679724,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2
88261711,88.0,50.0,53.0,66.0,12.0,71.0,11.0,24.0,10.0,4.0,38.9,10
75637165,100.0,90.0,100.0,66.0,79.0,51.0,46.0,84.0,50.0,97.0,76.3,10
64549122,100.0,100.0,100.0,90.0,100.0,100.0,80.0,68.0,80.0,100.0,91.8,10
42153309,100.0,100.0,100.0,70.0,100.0,56.0,18.0,50.0,0.0,0.0,59.4,8
10288456,0.0,0.0,0.0,0.0,0.0,48.0,39.0,88.0,30.0,61.0,26.6,5
18320642,100.0,100.0,56.0,38.0,42.0,67.0,26.0,30.0,53.0,51.0,56.3,10
25992894,50.0,98.0,78.0,65.0,24.0,56.0,48.0,28.0,90.0,16.0,55.3,10
51315077,100.0,63.0,91.0,70.0,82.0,77.0,84.0,100.0,25.0,100.0,79.2,10
45873056,100.0,100.0,100.0,100.0,73.0,100.0,10.0,100.0,100.0,0.0,78.3,9
61329673,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
99218881,100.0,100.0,100.0,100.0,91.0,100.0,60.0,100.0,100.0,43.0,89.4,10
81734132,80.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,3
17513375,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
95975416,100.0,81.0,100.0,50.0,32.0,22.0,10.0,0.0,0.0,0.0,39.5,7
