Student ID,module_code,assessment_number,score,progress_in_semester
20743976,CS161,1,0.0,0.1
94334509,CS161,1,100.0,0.1
36814683,CS161,1,15.0,0.1
32670174,CS161,1,0.0,0.1
54183175,CS161,1,0.0,0.1
40300574,CS161,1,100.0,0.1
73381689,CS161,1,23.0,0.1
70246117,CS161,1,100.0,0.1
61412453,CS161,1,100.0,0.1
66723966,CS161,1,95.0,0.1
98615098,CS161,1,100.0,0.1
12584561,CS161,1,100.0,0.1
13148647,CS161,1,100.0,0.1
52689053,CS161,1,100.0,0.1
73496760,CS161,1,100.0,0.1
98726176,CS161,1,100.0,0.1
41115870,CS161,1,100.0,0.1
89490222,CS161,1,50.0,0.1
35239168,CS161,1,100.0,0.1
50419199,CS161,1,100.0,0.1
60813480,CS161,1,0.0,0.1
72623279,CS161,1,0.0,0.1
46159542,CS161,1,100.0,0.1
31775286,CS161,1,100.0,0.1
75163235,CS161,1,48.0,0.1
53637669,CS161,1,100.0,0.1
59715668,CS161,1,63.0,0.1
20679724,CS161,1,100.0,0.1
88261711,CS161,1,88.0,0.1
75637165,CS161,1,100.0,0.1
64549122,CS161,1,100.0,0.1
42153309,CS161,1,100.0,0.1
10288456,CS161,1,0.0,0.1
18320642,CS161,1,100.0,0.1
25992894,CS161,1,50.0,0.1
51315077,CS161,1,100.0,0.1
45873056,CS161,1,100.0,0.1
61329673,CS161,1,100.0,0.1
99218881,CS161,1,100.0,0.1
81734132,CS161,1,80.0,0.1
17513375,CS161,1,100.0,0.1
95975416,CS161,1,100.0,0.1
85696727,CS161,1,50.0,0.1
64609448,CS161,1,100.0,0.1
81957314,CS161,1,88.0,0.1
78534290,CS161,1,100.0,0.1
56634669,CS161,1,100.0,0.1
51204596,CS161,1,100.0,0.1
49784910,CS161,1,0.0,0.1
27325452,CS161,1,100.0,0.1
58887597,CS161,1,100.0,0.1
53905435,CS161,1,100.0,0.1
41707679,CS161,1,100.0,0.1
21585127,CS161,1,100.0,0.1
57005216,CS161,1,0.0,0.1
99435901,CS161,1,100.0,0.1
95977109,CS161,1,61.0,0.1
96346768,CS161,1,75.0,0.1
49806843,CS161,1,75.0,0.1
42738772,CS161,1,100.0,0.1
94193537,CS161,1,100.0,0.1
94039775,CS161,1,100.0,0.1
16459971,CS161,1,50.0,0.1
69780409,CS161,1,100.0,0.1
61553683,CS161,1,100.0,0.1
49312326,CS161,1,100.0,0.1
26013074,CS161,1,100.0,0.1
11720062,CS161,1,100.0,0.1
50301485,CS161,1,100.0,0.1
57814323,CS161,1,100.0,0.1
44424412,CS161,1,100.0,0.1
28993185,CS161,1,50.0,0.1
59125777,CS161,1,100.0,0.1
51666805,CS161,1,100.0,0.1
81200570,CS161,1,100.0,0.1
13902965,CS161,1,100.0,0.1
35092169,CS161,1,88.0,0.1
16013789,CS161,1,100.0,0.1
91435409,CS161,1,100.0,0.1
18772021,CS161,1,100.0,0.1
11280583,CS161,1,0.0,0.1
89516281,CS161,1,100.0,0.1
81811643,CS161,1,100.0,0.1
86703236,CS161,1,100.0,0.1
18884292,CS161,1,0.0,0.1
33737937,CS161,1,88.0,0.1
31664592,CS161,1,100.0,0.1
98168038,CS161,1,100.0,0.1
42120296,CS161,1,0.0,0.1
59897937,CS161,1,50.0,0.1
87098918,CS161,1,88.0,0.1
97998433,CS161,1,100.0,0.1
30166785,CS161,1,100.0,0.1
65958403,CS161,1,100.0,0.1
62605871,CS161,1,100.0,0.1
55973104,CS161,1,50.0,0.1
62220404,CS161,1,100.0,0.1
94651334,CS161,1,0.0,0.1
50640627,CS161,1,100.0,0.1
21002121,CS161,1,100.0,0.1
30993222,CS161,1,100.0,0.1
60182001,CS161,1,100.0,0.1
51596177,CS161,1,100.0,0.1
29795251,CS161,1,100.0,0.1
98067951,CS161,1,100.0,0.1
