Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
11344540,96.45,10,-2.63,42.15,1.0,0
11415937,64.38,8,-8.62,86.73,1.0,1
11619654,88.07,10,-11.79,27.38,1.0,0
12237308,94.57,10,-7.67,40.22,1.0,0
13434594,90.91,10,-3.02,56.41,1.0,0
13489175,88.87,9,-0.83,20.13,1.0,1
13584790,80.97,10,-12.97,49.04,1.0,0
14700855,83.36,9,-2.41,38.9,1.0,1
14859968,24.2,7,-26.98,87.55,1.0,2
16052899,81.26,9,-1.7,71.44,1.0,1
16112416,99.12,10,1.76,29.25,1.0,0
16153010,80.0,8,0.0,36.7,1.0,2
16367724,74.84,10,-5.49,60.94,1.0,0
16650465,63.79,8,-17.1,57.44,1.0,2
16729597,50.2,8,-8.9,81.59,1.0,2
17186416,99.68,10,0.64,52.87,1.0,0
17369011,71.26,10,-21.52,49.65,1.0,0
17650346,61.7,8,-28.61,60.35,1.0,2
17954135,72.23,10,-28.06,50.54,1.0,0
18021763,85.04,10,-20.0,64.53,1.0,0
18237587,45.53,6,-9.7,65.94,1.0,3
18256197,86.9,9,-0.6,44.93,1.0,1
18835220,51.43,8,-40.12,73.98,1.0,2
18864892,83.49,10,-33.02,55.96,1.0,0
19236487,15.1,3,5.0,32.2,1.0,5
19304298,91.34,10,5.89,38.94,1.0,0
19514933,71.2,10,-17.06,58.95,1.0,0
19516358,99.07,10,-1.87,17.37,1.0,0
19546495,71.44,9,-30.83,45.85,1.0,1
19581852,69.41,9,12.2,58.15,1.0,1
19758663,95.29,10,-7.98,31.52,1.0,0
20031894,100.0,10,0.0,43.95,1.0,0
20203060,96.43,10,7.14,64.8,1.0,0
20534390,83.06,10,-0.22,65.4,1.0,0
20774325,47.35,9,-31.92,71.72,1.0,1
21399574,84.43,10,-8.86,42.51,1.0,0
22069035,90.06,10,-4.72,42.03,1.0,0
22305824,100.0,10,0.0,20.08,1.0,0
22771717,0.0,0,0.0,43.16,1.0,10
23223428,49.48,8,-35.36,85.95,1.0,1
23706913,83.4,10,-12.33,63.08,1.0,0
24051593,95.93,10,1.47,65.61,1.0,0
24264303,90.08,10,-3.36,47.44,1.0,0
24602305,0.0,0,0.0,92.3,1.0,10
24667465,98.45,10,-3.1,34.37,1.0,0
24774049,69.09,9,-22.78,35.83,1.0,1
24829216,77.46,9,-16.64,42.45,1.0,1
24925539,100.0,10,0.0,16.91,1.0,0
25053710,95.77,10,-7.31,30.94,1.0,0
25199098,82.76,10,-0.49,49.57,1.0,0
25591540,60.83,7,-30.56,85.26,1.0,1
25624838,69.58,8,-26.04,49.3,1.0,1
26550709,58.52,9,-37.74,49.29,1.0,1
26822069,94.72,10,-10.57,29.63,1.0,0
26823453,96.25,10,-7.5,52.32,1.0,0
26829717,95.26,10,0.28,57.11,1.0,0
27183343,95.56,10,8.88,65.52,1.0,0
27219633,85.06,10,-10.78,39.89,1.0,0
27227646,86.38,10,-1.82,53.07,1.0,0
27276779,100.0,10,0.0,24.01,1.0,0
27811787,99.4,10,-1.2,25.1,1.0,0
27821042,100.0,10,0.0,23.78,1.0,0
28157718,47.9,6,-15.5,88.5,1.0,4
28747258,81.61,9,18.98,22.8,1.0,1
28851363,100.0,10,0.0,31.63,1.0,0
29180761,58.88,10,-16.92,74.93,1.0,0
29219341,97.72,10,4.56,21.08,1.0,0
29238104,100.0,10,0.0,2.88,1.0,0
29619407,61.09,9,-27.19,75.52,1.0,1
29965095,90.5,10,-7.17,33.03,1.0,0
30245378,82.22,10,2.79,40.04,1.0,0
30404921,90.0,9,0.0,31.36,1.0,1
30574788,20.0,2,0.0,98.0,1.0,7
30659534,45.91,7,-40.02,58.12,1.0,2
30938596,90.16,10,-6.98,47.07,1.0,0
31044070,92.87,10,3.33,54.25,1.0,0
31288217,80.77,10,-6.56,41.94,1.0,0
31331355,76.9,8,-0.6,79.35,1.0,1
31466812,75.64,9,8.25,60.92,1.0,1
31483285,79.82,9,-14.31,47.25,1.0,1
31604156,92.86,10,-12.56,72.87,1.0,0
31619745,83.33,9,-16.67,72.7,1.0,1
31655246,82.36,10,-11.05,76.71,1.0,0
31707417,61.76,10,-7.33,78.73,1.0,0
31783869,77.11,10,-5.75,67.87,1.0,0
31870945,59.66,8,-28.85,58.27,1.0,1
32050733,98.41,10,-2.03,47.44,1.0,0
32199265,91.85,10,-10.58,35.25,1.0,0
32202479,31.97,7,-31.43,81.46,1.0,2
32534085,63.31,9,-18.62,69.31,1.0,1
32634975,34.97,8,-18.89,85.28,1.0,1
32712383,92.8,10,3.47,60.73,1.0,0
32751216,92.01,10,-6.49,41.19,1.0,0
32779192,13.07,3,-95.0,97.0,1.0,4
32973698,94.08,10,-11.85,11.26,1.0,0
33025706,55.69,10,-24.41,67.02,1.0,0
33584628,58.72,8,-32.58,74.73,1.0,1
34026803,23.49,6,-7.4,90.16,1.0,4
34085243,56.19,8,-30.52,87.35,1.0,2
34106098,57.27,7,3.72,62.8,1.0,1
34435608,13.0,2,-30.0,96.92,1.0,8
34534147,73.16,9,4.55,74.94,1.0,1
34826933,84.08,9,-14.81,40.9,1.0,1
34836465,100.0,10,0.0,26.53,1.0,0
35195294,92.92,10,-9.83,22.09,1.0,0
35228724,38.88,8,-33.35,84.41,1.0,2
35638989,65.91,10,-33.98,82.49,1.0,0
35693299,76.83,10,-30.7,62.61,1.0,0
35961483,97.12,10,-5.77,70.23,1.0,0
36207660,96.86,10,-2.12,35.63,1.0,0
36559567,51.76,8,-29.74,65.8,1.0,2
37615874,74.27,10,-16.31,59.83,1.0,0
37802285,84.26,10,1.74,37.64,1.0,0
37949742,78.27,9,-18.18,72.99,1.0,1
39057051,80.34,10,-11.01,70.81,1.0,0
39072447,42.52,7,-15.81,60.91,1.0,2
39591036,10.0,1,0.0,99.0,1.0,9
39671270,76.97,9,14.57,65.9,1.0,1
40745362,86.9,10,-19.8,47.58,1.0,0
41018065,27.46,6,-40.86,86.09,1.0,2
41238410,45.67,5,-16.67,77.71,1.0,4
41238817,77.38,9,-22.16,71.72,1.0,1
41392674,73.22,10,-7.04,71.61,1.0,0
41437101,82.18,9,-19.56,31.5,1.0,1
41749388,98.36,10,-2.63,16.93,1.0,0
41886521,100.0,10,0.0,14.78,1.0,0
42625208,62.41,8,-4.43,45.02,1.0,1
42705350,66.26,10,-32.7,64.08,1.0,0
42843256,100.0,10,0.0,24.29,1.0,0
43867886,83.03,9,-4.42,58.51,1.0,1
44140322,64.31,7,-1.83,65.25,1.0,2
44415509,82.84,10,-12.61,46.85,1.0,0
44435353,69.21,10,-15.71,47.41,1.0,0
44697524,81.93,10,-16.72,74.29,1.0,0
45239869,75.98,9,-4.34,58.12,1.0,1
45411597,66.98,9,-30.32,78.35,1.0,1
45581496,80.74,9,-11.01,37.82,1.0,1
46089625,56.64,10,-45.45,76.36,1.0,0
46149948,73.71,10,-17.51,39.47,1.0,0
46298750,67.2,9,-39.76,64.62,1.0,1
47053476,93.04,10,-7.52,30.94,1.0,0
47812491,81.34,10,13.65,57.89,1.0,0
48064815,78.69,9,-14.23,43.44,1.0,1
48200382,18.1,3,-85.71,92.67,1.0,7
48342530,77.52,10,-16.61,73.38,1.0,0
48536684,100.0,10,0.0,18.05,1.0,0
49306699,37.12,6,-36.52,86.69,1.0,4
49456196,97.45,10,-5.1,34.54,1.0,0
51597404,100.0,10,0.0,15.14,1.0,0
51748245,100.0,10,0.0,30.7,1.0,0
52010981,55.39,9,-11.74,74.01,1.0,1
52139328,100.0,10,0.0,36.89,1.0,0
52796411,64.19,9,6.35,60.69,1.0,1
52819296,62.97,9,-31.69,67.73,1.0,1
52889027,98.6,10,2.8,32.08,1.0,0
53522318,56.74,9,-45.51,63.05,1.0,1
53690948,88.96,10,-17.51,58.59,1.0,0
53990039,75.74,10,-18.43,63.31,1.0,0
54179437,61.59,9,-14.77,54.58,1.0,1
54721717,65.5,10,-22.52,82.55,1.0,0
55057476,85.13,10,-11.56,40.54,1.0,0
55480169,93.14,10,13.71,41.39,1.0,0
56823431,67.78,10,7.77,75.41,1.0,0
57558661,92.36,10,-14.15,29.81,1.0,0
57809216,88.75,10,-12.1,30.15,1.0,0
58041923,69.83,10,-5.71,84.25,1.0,0
58548383,80.6,10,-23.72,44.75,1.0,0
59163655,0.0,0,0.0,100.0,1.0,10
59471439,63.29,7,-12.81,65.33,1.0,2
59981065,100.0,10,0.0,32.11,1.0,0
60270104,98.26,10,3.49,39.84,1.0,0
60401339,69.41,9,-17.18,78.54,1.0,1
60742408,82.09,9,-15.48,36.67,1.0,1
60851962,43.67,7,-45.87,80.33,1.0,2
62722675,73.85,10,-19.16,58.43,1.0,0
