Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
11204571,100.0,6,0.0,12.0,0.6
11372849,100.0,6,0.0,17.0,0.6
11628125,92.67,6,11.33,52.0,0.6
11756745,49.17,4,-52.5,128.0,0.6
11995577,64.67,6,-23.33,102.0,0.6
12039636,100.0,6,0.0,52.0,0.6
12152832,75.33,5,-4.5,44.0,0.6
12173443,40.33,6,2.67,128.0,0.6
12306119,77.17,6,10.33,128.0,0.6
12626419,100.0,6,0.0,60.0,0.6
13022259,100.0,6,0.0,22.0,0.6
13516601,66.0,6,-48.0,135.0,0.6
13731882,73.17,6,9.67,103.0,0.6
14369025,76.17,6,17.67,130.0,0.6
14383148,100.0,6,0.0,57.0,0.6
14672318,100.0,6,0.0,36.0,0.6
14708099,32.67,3,-14.0,140.0,0.6
14992696,51.17,4,-2.5,140.0,0.6
15214948,96.0,6,-6.67,60.0,0.6
15978528,100.0,6,0.0,122.0,0.6
15993142,86.5,6,-27.0,105.0,0.6
16165713,100.0,6,0.0,50.0,0.6
16223371,85.17,6,-29.67,50.0,0.6
16274438,80.17,6,-25.67,54.0,0.6
16759226,92.0,6,10.0,115.0,0.6
16978276,100.0,6,0.0,56.0,0.6
17126904,98.5,6,-3.0,38.0,0.6
17540469,98.5,6,-1.67,19.0,0.6
17619064,73.17,5,-30.5,125.0,0.6
17828528,98.33,6,-3.33,40.0,0.6
17916583,100.0,6,0.0,9.0,0.6
17988839,62.17,5,-53.5,127.0,0.6
18153671,98.33,6,-3.33,17.0,0.6
18342686,56.67,6,-14.0,135.0,0.6
18392752,90.83,6,-18.33,104.0,0.6
18478977,100.0,6,0.0,36.0,0.6
18845591,100.0,6,0.0,57.0,0.6
19003975,100.0,6,0.0,44.0,0.6
19160332,11.33,3,-36.0,140.0,0.6
19370915,100.0,6,0.0,105.0,0.6
19492041,100.0,6,0.0,10.0,0.6
20166054,27.0,6,-19.33,135.0,0.6
20272886,95.0,6,-10.0,46.0,0.6
20603140,98.17,6,-3.67,45.0,0.6
20784336,98.17,6,3.67,22.0,0.6
20950006,85.33,6,-9.33,44.0,0.6
20973671,79.5,6,-33.67,121.0,0.6
21035456,86.67,6,7.33,27.0,0.6
21569802,89.5,6,-21.0,140.0,0.6
21630795,100.0,6,0.0,19.0,0.6
21688572,75.67,5,-23.0,105.0,0.6
22135913,87.17,6,14.33,52.0,0.6
22307456,89.67,6,-14.0,24.0,0.6
22361337,55.83,6,13.67,112.0,0.6
22551398,96.33,6,-7.33,109.0,0.6
22896594,92.83,6,-12.33,50.0,0.6
23296864,26.0,2,-44.0,137.0,0.6
23501065,100.0,6,0.0,34.0,0.6
23504839,55.0,6,-31.33,56.0,0.6
23696390,20.33,3,-98.0,135.0,0.6
23701729,97.67,6,-4.67,49.0,0.6
23917602,100.0,6,0.0,39.0,0.6
23971090,87.5,6,-15.67,140.0,0.6
24076910,100.0,6,0.0,47.0,0.6
24113904,95.83,6,-8.33,58.0,0.6
24126422,88.33,6,12.67,123.0,0.6
24127710,19.67,3,-90.0,132.0,0.6
24790246,93.0,6,6.0,116.0,0.6
25109838,97.0,6,-6.0,41.0,0.6
25331138,91.0,6,15.33,18.0,0.6
25381424,100.0,6,0.0,19.0,0.6
25399185,98.17,6,-3.67,33.0,0.6
25516569,73.0,6,-40.67,126.0,0.6
25550236,60.67,5,-19.0,140.0,0.6
25693562,97.0,6,-6.0,40.0,0.6
26111335,92.83,6,7.67,130.0,0.6
26584428,98.5,6,-3.0,26.0,0.6
26599288,50.5,5,-33.5,115.0,0.6
26873519,76.67,6,-33.33,59.0,0.6
27370046,45.33,5,-49.0,135.0,0.6
27375601,60.0,6,-44.67,134.0,0.6
27625814,100.0,6,0.0,49.0,0.6
27936987,86.83,6,-26.33,112.0,0.6
28159689,18.67,2,22.0,54.0,0.6
28249094,99.5,6,-1.0,39.0,0.6
28563648,98.33,6,-3.33,106.0,0.6
28869403,95.17,6,-9.67,130.0,0.6
29057187,86.83,6,-24.33,27.0,0.6
29165893,85.0,6,-30.0,109.0,0.6
29649479,81.0,6,-31.33,12.0,0.6
29697244,98.33,6,-3.33,32.0,0.6
29933757,77.0,6,-6.0,105.0,0.6
30079405,30.0,4,0.0,114.0,0.6
30230101,99.5,6,-1.0,16.0,0.6
30468596,80.0,6,18.0,139.0,0.6
30511442,72.67,6,-21.33,108.0,0.6
30523399,94.17,6,-2.33,50.0,0.6
30692683,80.83,5,-5.5,140.0,0.6
30822116,5.5,1,0.0,135.0,0.6
30877387,94.17,6,-11.67,45.0,0.6
30901180,58.0,6,25.33,109.0,0.6
31128159,68.5,5,-4.5,55.0,0.6
31397192,46.0,5,-38.0,52.0,0.6
31503805,30.33,3,42.0,140.0,0.6
31653483,92.0,6,-14.67,120.0,0.6
32221102,68.17,5,-27.5,112.0,0.6
32291309,88.5,6,-14.33,114.0,0.6
32446864,92.0,6,-16.0,47.0,0.6
