Student ID,average_score,assessments_completed,performance_trend
8698764,63.43,6,-52.0
10288456,12.43,2,-9.0
10476677,82.43,7,-5.33
10700295,53.86,4,0.5
11040511,22.29,2,-44.0
11175690,75.29,7,-41.0
11280583,44.71,6,-5.67
11294309,67.14,7,0.0
11387327,0.0,0,0.0
11435169,89.29,7,-23.0
11720062,100.0,7,0.0
11932445,97.71,7,-5.33
11968244,41.57,4,-9.5
12172696,81.71,7,22.33
12177825,70.57,6,-35.33
12230549,79.0,7,-9.67
12241102,100.0,7,0.0
12302791,87.14,7,-30.0
12385441,63.14,6,-52.67
12441578,96.43,7,-1.0
12584561,74.43,7,-43.33
12883876,100.0,7,0.0
13124171,36.29,5,-41.5
13148647,100.0,7,0.0
13205082,34.71,7,-36.67
13606343,100.0,7,0.0
13845265,65.14,6,-46.0
13853407,77.86,6,-3.67
13889013,100.0,7,0.0
13891162,22.14,4,-41.5
13902965,77.0,7,-36.67
13912660,100.0,7,0.0
13923218,75.0,7,-48.33
13969648,100.0,7,0.0
14023706,95.0,7,-11.67
14036427,72.29,6,-24.0
14056233,73.57,7,-48.33
14123987,97.14,7,1.33
14532650,86.71,7,-16.33
14618318,97.14,7,-6.67
14804335,97.14,7,-6.67
14882960,94.43,7,-13.0
14883984,53.57,7,7.33
15030415,100.0,7,0.0
15168545,100.0,7,0.0
15446974,36.86,7,2.67
15711707,71.86,7,-44.33
15748697,51.0,7,-42.67
16013789,57.14,4,0.0
16238312,98.57,7,-3.33
16459971,39.71,6,-0.67
16468243,86.29,7,-32.0
16640820,64.0,6,-2.67
16984312,97.43,7,-6.0
17400417,55.29,6,-31.0
17513375,100.0,7,0.0
17744422,36.71,7,-2.0
17858319,87.14,7,-10.0
17959599,93.14,7,10.33
17996963,100.0,7,0.0
18065078,97.43,7,-6.0
18094987,90.0,7,-23.33
18280022,66.57,7,-60.67
18320642,61.29,7,-40.33
18416579,78.57,7,-20.67
18513744,47.14,5,-45.0
18772021,99.14,7,-2.0
18884292,40.29,3,0.0
18953844,70.71,7,-45.0
19328111,42.14,4,-52.5
19468959,37.43,5,-18.5
19620947,62.86,7,-53.67
19880196,29.86,3,-1.0
20248719,70.14,7,-45.0
20679724,20.0,2,-60.0
20743976,69.14,6,-14.67
